Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LOS-WEB (RBI) Full Cycle,Chrome 114.0.0.0,,,2023-06-08 14:26:40,2023-06-08 14:27:19,39.724s,PASSED
,,,,,,,
Test Cases/Login,Chrome 114.0.0.0,,,2023-06-08 14:26:40,2023-06-08 14:26:53,12.919s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-08 14:26:40,2023-06-08 14:26:43,2.626s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-06-08 14:26:43,2023-06-08 14:26:43,0.178s,PASSED
"navigateToUrl(""https://losrbitest.cardmri.com:8446/LOSWEB/login"")",Chrome 114.0.0.0,,,2023-06-08 14:26:43,2023-06-08 14:26:43,0.354s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web - Login/label_Username""))",Chrome 114.0.0.0,,,2023-06-08 14:26:43,2023-06-08 14:26:44,0.659s,PASSED
"setText(findTestObject(""Object Repository/Page_LOS Web - Login/input_LOAN ORIGINATION SYSTEM (LOS) Web_userName""), ""vfvillaceran"")",Chrome 114.0.0.0,,,2023-06-08 14:26:44,2023-06-08 14:26:45,0.867s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_LOS Web - Login/input_Username_userPass""), ""n8hQ3tKcmLG0jssBracaYQ=="")",Chrome 114.0.0.0,,,2023-06-08 14:26:45,2023-06-08 14:26:45,0.620s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web - Login/button_Login""))",Chrome 114.0.0.0,,,2023-06-08 14:26:45,2023-06-08 14:26:48,2.235s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-06-08 14:26:48,2023-06-08 14:26:53,5.062s,PASSED
,,,,,,,
Test Cases/Dashboard/CID and view ePN,Chrome 114.0.0.0,,,2023-06-08 14:26:53,2023-06-08 14:27:17,24.350s,PASSED
"setText(findTestObject(""Object Repository/Page_LOS Web HomePage/input_Thursday, June 8, 2023_txtSearchCID""), ""1030091995"")",Chrome 114.0.0.0,,,2023-06-08 14:26:53,2023-06-08 14:26:55,1.136s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/button_Search""))",Chrome 114.0.0.0,,,2023-06-08 14:26:55,2023-06-08 14:26:55,0.517s,PASSED
delay(3),Chrome 114.0.0.0,,,2023-06-08 14:26:55,2023-06-08 14:26:58,3.005s,PASSED
"scrollToPosition(0, 150)",Chrome 114.0.0.0,,,2023-06-08 14:26:58,2023-06-08 14:26:58,0.060s,PASSED
delay(3),Chrome 114.0.0.0,,,2023-06-08 14:26:58,2023-06-08 14:27:01,3.004s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/a_64e443173f8090c620230605085556467""))",Chrome 114.0.0.0,,,2023-06-08 14:27:01,2023-06-08 14:27:02,0.961s,PASSED
delay(10),Chrome 114.0.0.0,,,2023-06-08 14:27:02,2023-06-08 14:27:12,10.010s,PASSED
switchToWindowIndex(0),Chrome 114.0.0.0,,,2023-06-08 14:27:12,2023-06-08 14:27:12,0.057s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-06-08 14:27:12,2023-06-08 14:27:17,5.009s,PASSED
,,,,,,,
Test Cases/Logout,Chrome 114.0.0.0,,,2023-06-08 14:27:17,2023-06-08 14:27:19,2.198s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/a_Logout""))",Chrome 114.0.0.0,,,2023-06-08 14:27:18,2023-06-08 14:27:18,0.500s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/a_Logout_1""))",Chrome 114.0.0.0,,,2023-06-08 14:27:18,2023-06-08 14:27:19,1.153s,PASSED
