Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Try,Chrome 114.0.0.0,,,2023-06-09 17:02:45,2023-06-09 17:03:43,58.546s,PASSED
,,,,,,,
Test Cases/LOS RBI/Loan Matrix/Loan Amount/ADD,Chrome 114.0.0.0,,,2023-06-09 17:02:45,2023-06-09 17:03:07,21.658s,PASSED
MinLa = new java.util.Random(),Chrome 114.0.0.0,,,2023-06-09 17:02:45,2023-06-09 17:02:45,0.007s,PASSED
MinimumLA = MinLa.nextInt(9000) + 1000,Chrome 114.0.0.0,,,2023-06-09 17:02:45,2023-06-09 17:02:45,0.001s,PASSED
MaxLa = new java.util.Random(),Chrome 114.0.0.0,,,2023-06-09 17:02:45,2023-06-09 17:02:45,0.001s,PASSED
MaximumLA = MaxLa.nextInt(90000) + 10000,Chrome 114.0.0.0,,,2023-06-09 17:02:45,2023-06-09 17:02:45,0.001s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-09 17:02:45,2023-06-09 17:02:48,2.698s,PASSED
"navigateToUrl(""https://losrbitest.cardmri.com:8446/LOSWEB/login"")",Chrome 114.0.0.0,,,2023-06-09 17:02:48,2023-06-09 17:02:48,0.294s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web - Login/label_Username""))",Chrome 114.0.0.0,,,2023-06-09 17:02:48,2023-06-09 17:02:49,0.547s,PASSED
"setText(findTestObject(""Object Repository/Page_LOS Web - Login/input_LOAN ORIGINATION SYSTEM (LOS) Web_userName""), ""vfvillaceran"")",Chrome 114.0.0.0,,,2023-06-09 17:02:49,2023-06-09 17:02:50,0.727s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_LOS Web - Login/input_Username_userPass""), ""n8hQ3tKcmLG0jssBracaYQ=="")",Chrome 114.0.0.0,,,2023-06-09 17:02:50,2023-06-09 17:02:50,0.459s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web - Login/button_Login""))",Chrome 114.0.0.0,,,2023-06-09 17:02:50,2023-06-09 17:02:52,2.291s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/a_Loan Matrix""))",Chrome 114.0.0.0,,,2023-06-09 17:02:52,2023-06-09 17:02:53,0.701s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/span_Loan Amount Matrix""))",Chrome 114.0.0.0,,,2023-06-09 17:02:53,2023-06-09 17:02:55,1.731s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/button_Add New Loan Matrix""))",Chrome 114.0.0.0,,,2023-06-09 17:02:55,2023-06-09 17:02:55,0.690s,PASSED
