Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LOS-WEB Full Cycle,Chrome 114.0.0.0,,,2023-06-21 09:07:57,2023-06-21 09:09:43,1m - 45.420s,PASSED
,,,,,,,
Test Cases/LOS RBI/Login,Chrome 114.0.0.0,,,2023-06-21 09:07:57,2023-06-21 09:08:11,14.004s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-21 09:07:58,2023-06-21 09:08:00,2.477s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-06-21 09:08:00,2023-06-21 09:08:00,0.172s,PASSED
navigateToUrl(URL_RBI),Chrome 114.0.0.0,,,2023-06-21 09:08:00,2023-06-21 09:08:02,1.360s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web - Login/label_Username""))",Chrome 114.0.0.0,,,2023-06-21 09:08:02,2023-06-21 09:08:02,0.598s,PASSED
"setText(findTestObject(""Object Repository/Page_LOS Web - Login/input_LOAN ORIGINATION SYSTEM (LOS) Web_userName""), USERNAME_RBI)",Chrome 114.0.0.0,,,2023-06-21 09:08:02,2023-06-21 09:08:03,0.907s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_LOS Web - Login/input_Username_userPass""), PASSWORD_RBI)",Chrome 114.0.0.0,,,2023-06-21 09:08:03,2023-06-21 09:08:04,0.630s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web - Login/button_Login""))",Chrome 114.0.0.0,,,2023-06-21 09:08:04,2023-06-21 09:08:06,2.527s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-06-21 09:08:06,2023-06-21 09:08:11,5.047s,PASSED
,,,,,,,
Test Cases/LOS RBI/Dashboard/CID and view ePN,Chrome 114.0.0.0,,,2023-06-21 09:08:11,2023-06-21 09:08:37,25.363s,PASSED
"setText(findTestObject(""Object Repository/Page_LOS Web HomePage/input_Thursday, June 8, 2023_txtSearchCID""), ""1030091995"")",Chrome 114.0.0.0,,,2023-06-21 09:08:12,2023-06-21 09:08:14,1.553s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/button_Search""))",Chrome 114.0.0.0,,,2023-06-21 09:08:14,2023-06-21 09:08:14,0.934s,PASSED
delay(3),Chrome 114.0.0.0,,,2023-06-21 09:08:14,2023-06-21 09:08:17,3.014s,PASSED
"scrollToPosition(0, 150)",Chrome 114.0.0.0,,,2023-06-21 09:08:17,2023-06-21 09:08:18,0.050s,PASSED
delay(3),Chrome 114.0.0.0,,,2023-06-21 09:08:18,2023-06-21 09:08:21,3.013s,PASSED
"click(findTestObject(""Object Repository/SpyWeb_Elements/Page_LOS Web HomePage/Dashboard/Page_LOS Web HomePage/a_64e443173f8090c620230605085556467""))",Chrome 114.0.0.0,,,2023-06-21 09:08:21,2023-06-21 09:08:22,0.960s,PASSED
delay(10),Chrome 114.0.0.0,,,2023-06-21 09:08:22,2023-06-21 09:08:32,10.013s,PASSED
switchToWindowIndex(0),Chrome 114.0.0.0,,,2023-06-21 09:08:32,2023-06-21 09:08:32,0.068s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-06-21 09:08:32,2023-06-21 09:08:37,5.002s,PASSED
closeWindowIndex(1),Chrome 114.0.0.0,,,2023-06-21 09:08:37,2023-06-21 09:08:37,0.087s,PASSED
switchToWindowIndex(0),Chrome 114.0.0.0,,,2023-06-21 09:08:37,2023-06-21 09:08:37,0.023s,PASSED
,,,,,,,
Test Cases/LOS RBI/Loan Matrix/Loan Amount/ADD,Chrome 114.0.0.0,,,2023-06-21 09:08:37,2023-06-21 09:08:50,12.800s,PASSED
MinLa = new java.util.Random(),Chrome 114.0.0.0,,,2023-06-21 09:08:37,2023-06-21 09:08:37,0.009s,PASSED
MinimumLA = MinLa.nextInt(9000) + 1000,Chrome 114.0.0.0,,,2023-06-21 09:08:37,2023-06-21 09:08:37,0.000s,PASSED
MaxLa = new java.util.Random(),Chrome 114.0.0.0,,,2023-06-21 09:08:37,2023-06-21 09:08:37,0.000s,PASSED
MaximumLA = MaxLa.nextInt(90000) + 10000,Chrome 114.0.0.0,,,2023-06-21 09:08:37,2023-06-21 09:08:37,0.001s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/a_Loan Matrix""))",Chrome 114.0.0.0,,,2023-06-21 09:08:37,2023-06-21 09:08:38,0.475s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/span_Loan Amount Matrix""))",Chrome 114.0.0.0,,,2023-06-21 09:08:38,2023-06-21 09:08:39,1.201s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/button_Add New Loan Matrix""))",Chrome 114.0.0.0,,,2023-06-21 09:08:39,2023-06-21 09:08:40,0.701s,PASSED
"setText(findTestObject(""Page_LOS Web HomePage/input__txtMinAmount""), MinimumLA.toString())",Chrome 114.0.0.0,,,2023-06-21 09:08:40,2023-06-21 09:08:41,1.081s,PASSED
"setText(findTestObject(""Object Repository/Page_LOS Web HomePage/input_Minimum Amount_txtMaxAmount""), MaximumLA.toString())",Chrome 114.0.0.0,,,2023-06-21 09:08:41,2023-06-21 09:08:42,0.893s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_LOS Web HomePage/select_Please Select Role Account Officer S_1fb818""), ""1016"", true)",Chrome 114.0.0.0,,,2023-06-21 09:08:42,2023-06-21 09:08:44,2.516s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_LOS Web HomePage/select_Please Select Action Recommendation _3b373a""), ""1"", true)",Chrome 114.0.0.0,,,2023-06-21 09:08:44,2023-06-21 09:08:46,1.487s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/button_Save""))",Chrome 114.0.0.0,,,2023-06-21 09:08:46,2023-06-21 09:08:46,0.587s,PASSED
acceptAlert(),Chrome 114.0.0.0,,,2023-06-21 09:08:46,2023-06-21 09:08:46,0.045s,PASSED
acceptAlert(),Chrome 114.0.0.0,,,2023-06-21 09:08:46,2023-06-21 09:08:47,0.101s,PASSED
delay(3),Chrome 114.0.0.0,,,2023-06-21 09:08:47,2023-06-21 09:08:50,3.013s,PASSED
,,,,,,,
Test Cases/LOS RBI/Loan Matrix/Loan Amount/EDIT,Chrome 114.0.0.0,,,2023-06-21 09:08:50,2023-06-21 09:08:58,8.617s,PASSED
"setText(findTestObject(""Object Repository/Page_LOS Web HomePage/input_search""), ""super"")",Chrome 114.0.0.0,,,2023-06-21 09:08:50,2023-06-21 09:08:51,1.360s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/button_Description_btnUpdateLoan""))",Chrome 114.0.0.0,,,2023-06-21 09:08:51,2023-06-21 09:08:52,0.911s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_LOS Web HomePage/select_Recommendation Approval""), ""2"", true)",Chrome 114.0.0.0,,,2023-06-21 09:08:52,2023-06-21 09:08:54,2.040s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/button_Update""))",Chrome 114.0.0.0,,,2023-06-21 09:08:54,2023-06-21 09:08:55,0.478s,PASSED
acceptAlert(),Chrome 114.0.0.0,,,2023-06-21 09:08:55,2023-06-21 09:08:55,0.023s,PASSED
acceptAlert(),Chrome 114.0.0.0,,,2023-06-21 09:08:55,2023-06-21 09:08:55,0.194s,PASSED
delay(3),Chrome 114.0.0.0,,,2023-06-21 09:08:55,2023-06-21 09:08:58,3.015s,PASSED
,,,,,,,
Test Cases/LOS RBI/Loan Matrix/Loan Amount/DELETE,Chrome 114.0.0.0,,,2023-06-21 09:08:58,2023-06-21 09:09:11,12.674s,PASSED
"setText(findTestObject(""Object Repository/Page_LOS Web HomePage/input_search""), ""Super"")",Chrome 114.0.0.0,,,2023-06-21 09:08:59,2023-06-21 09:09:00,0.871s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/button_Description_btnDeleteMatrix""))",Chrome 114.0.0.0,,,2023-06-21 09:09:00,2023-06-21 09:09:01,1.878s,PASSED
acceptAlert(),Chrome 114.0.0.0,,,2023-06-21 09:09:01,2023-06-21 09:09:01,0.028s,PASSED
acceptAlert(),Chrome 114.0.0.0,,,2023-06-21 09:09:01,2023-06-21 09:09:02,0.085s,PASSED
delay(3),Chrome 114.0.0.0,,,2023-06-21 09:09:02,2023-06-21 09:09:05,3.010s,PASSED
"setText(findTestObject(""Object Repository/Page_LOS Web HomePage/input_search""), ""super"")",Chrome 114.0.0.0,,,2023-06-21 09:09:05,2023-06-21 09:09:06,1.238s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-06-21 09:09:06,2023-06-21 09:09:11,5.011s,PASSED
,,,,,,,
Test Cases/LOS RBI/Reports/Audit Trail Reports/ATR Generate in PDF,Chrome 114.0.0.0,,,2023-06-21 09:09:11,2023-06-21 09:09:39,28.269s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/span_Reports""))",Chrome 114.0.0.0,,,2023-06-21 09:09:11,2023-06-21 09:09:12,0.488s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/span_Audit Trail Report""))",Chrome 114.0.0.0,,,2023-06-21 09:09:12,2023-06-21 09:09:13,0.598s,PASSED
today = new java.util.Date(),Chrome 114.0.0.0,,,2023-06-21 09:09:13,2023-06-21 09:09:13,0.020s,PASSED
dateFormat = new java.text.SimpleDateFormat(yyyy-MM-dd),Chrome 114.0.0.0,,,2023-06-21 09:09:13,2023-06-21 09:09:13,0.034s,PASSED
currentDate = dateFormat.format(today),Chrome 114.0.0.0,,,2023-06-21 09:09:13,2023-06-21 09:09:13,0.000s,PASSED
"setText(findTestObject(""Object Repository/Page_LOS Web HomePage/input__startDate1""), currentDate)",Chrome 114.0.0.0,,,2023-06-21 09:09:13,2023-06-21 09:09:14,1.212s,PASSED
"setText(findTestObject(""Object Repository/Page_LOS Web HomePage/input__endDate1""), currentDate)",Chrome 114.0.0.0,,,2023-06-21 09:09:14,2023-06-21 09:09:15,0.958s,PASSED
"click(findTestObject(""SpyWeb_Elements/Page_LOS Web HomePage/Audit_Trail/div_Audit Trail Report""))",Chrome 114.0.0.0,,,2023-06-21 09:09:15,2023-06-21 09:09:15,0.593s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/button_Generate in PDF""))",Chrome 114.0.0.0,,,2023-06-21 09:09:15,2023-06-21 09:09:16,0.479s,PASSED
acceptAlert(),Chrome 114.0.0.0,,,2023-06-21 09:09:16,2023-06-21 09:09:16,0.024s,PASSED
delay(20),Chrome 114.0.0.0,,,2023-06-21 09:09:16,2023-06-21 09:09:36,20.017s,PASSED
"click(findTestObject(""SpyWeb_Elements/Page_LOS Web HomePage/Audit_Trail/Buttons/button_""))",Chrome 114.0.0.0,,,2023-06-21 09:09:36,2023-06-21 09:09:39,3.064s,PASSED
switchToWindowIndex(0),Chrome 114.0.0.0,,,2023-06-21 09:09:39,2023-06-21 09:09:39,0.055s,PASSED
closeWindowIndex(1),Chrome 114.0.0.0,,,2023-06-21 09:09:39,2023-06-21 09:09:39,0.079s,PASSED
switchToWindowIndex(0),Chrome 114.0.0.0,,,2023-06-21 09:09:39,2023-06-21 09:09:39,0.030s,PASSED
,,,,,,,
Test Cases/LOS RBI/Logout,Chrome 114.0.0.0,,,2023-06-21 09:09:39,2023-06-21 09:09:43,3.419s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/a_Logout""))",Chrome 114.0.0.0,,,2023-06-21 09:09:40,2023-06-21 09:09:40,0.760s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/a_Logout_1""))",Chrome 114.0.0.0,,,2023-06-21 09:09:40,2023-06-21 09:09:42,1.287s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-06-21 09:09:42,2023-06-21 09:09:43,0.791s,PASSED
